104.14.237.186 - inara_rupani [17/Dec/2025:17:49:15 -0700] "POST /login/login?user=inara_rupani&password=Pn8slLdZq&status=unauthorized HTTP/1.1" 401 13361 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
70.57.9.137 - mahek_ramzan [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=mahek_ramzan&password=OmZoB3FJs&status=unauthorized HTTP/1.1" 401 14180 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
133.111.103.243 - - [17/Dec/2025:17:49:19 -0700] "HEAD /viral/e-enable/out-of-the-box/e-commerce HTTP/2.0" 405 1816 "https://www.customerexperiences.com/channels" "Opera/10.28 (Macintosh; U; PPC Mac OS X 10_9_0; en-US) Presto/2.10.308 Version/10.00"
239.67.155.233 - schaden2714 [17/Dec/2025:17:49:19 -0700] "PUT /transition/e-commerce/bandwidth/action-items HTTP/1.1" 406 94175 "https://www.internalsyndicate.com/generate/sticky/architectures" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6 rv:5.0; en-US) AppleWebKit/531.21.3 (KHTML, like Gecko) Version/4.1 Safari/531.21.3"
88.109.183.217 - parker8416 [17/Dec/2025:17:49:19 -0700] "DELETE /empower/rich/sexy HTTP/1.0" 205 61125 "http://www.centralenable.io/platforms/integrate" "Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5341 (KHTML, like Gecko) Chrome/39.0.859.0 Mobile Safari/5341"
61.15.136.12 - samir [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=samir&password=vdTIlbQdr&status=unauthorized HTTP/1.1" 401 18968 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
5.247.178.218 - gutkowski3107 [17/Dec/2025:17:49:19 -0700] "PATCH /functionalities/innovate/recontextualize/viral HTTP/1.1" 304 7033 "https://www.centralpartnerships.name/iterate/revolutionary" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/5310 (KHTML, like Gecko) Chrome/40.0.843.0 Mobile Safari/5310"
100.52.111.230 - asad [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=asad&password=3J9kFM2g&status=unauthorized HTTP/1.1" 401 16965 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
150.101.91.114 - hagenes7221 [17/Dec/2025:17:49:19 -0700] "POST /strategic/deliver HTTP/1.0" 401 89075 "http://www.productniches.biz/paradigms" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/36.0.807.0 Mobile Safari/5341"
137.249.241.72 - samir [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=samir&password=xoWLhl5Dw&status=unauthorized HTTP/1.1" 401 14326 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
141.236.207.95 - schumm3567 [17/Dec/2025:17:49:19 -0700] "PATCH /wireless/empower/matrix/web-readiness HTTP/2.0" 100 41912 "https://www.globalone-to-one.io/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/5310 (KHTML, like Gecko) Chrome/38.0.877.0 Mobile Safari/5310"
150.135.116.199 - ayaan_ajaney [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=ayaan_ajaney&password=35Nt7jPu6k6&status=unauthorized HTTP/1.1" 401 22818 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
157.238.192.184 - marriam_shah [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=marriam_shah&password=IpwvWC3vj3&status=unauthorized HTTP/1.1" 401 12007 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
219.54.29.121 - schroeder5213 [17/Dec/2025:17:49:19 -0700] "HEAD /integrated HTTP/2.0" 302 2180 "https://www.leadcompelling.biz/frictionless" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_0 rv:6.0) Gecko/2022-14-11 Firefox/37.0"
98.156.9.224 - - [17/Dec/2025:17:49:19 -0700] "POST /world-class/innovative/enterprise/extend HTTP/1.1" 502 62711 "https://www.corporateinfrastructures.net/granular/enable" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_1 rv:7.0; en-US) AppleWebKit/532.33.2 (KHTML, like Gecko) Version/4.2 Safari/532.33.2"
130.245.154.33 - hettinger2861 [17/Dec/2025:17:49:19 -0700] "PATCH /ubiquitous/out-of-the-box HTTP/1.0" 205 57410 "https://www.dynamicubiquitous.net/engage" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/5311 (KHTML, like Gecko) Chrome/37.0.826.0 Mobile Safari/5311"
128.196.77.201 - roheen [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=roheen&password=2MOc3xLVf2EtP&status=unauthorized HTTP/1.1" 401 21921 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
80.161.120.108 - zain_mitha [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=zain_mitha&password=3leydrNBLF3rr&status=unauthorized HTTP/1.1" 401 8591 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
