47.158.180.42 - aneel [17/Dec/2025:17:49:18 -0700] "POST /login/login?user=aneel&password=6GJ1VsKYWVq8oP&status=unauthorized HTTP/1.1" 401 4859 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
214.231.132.44 - - [17/Dec/2025:17:49:19 -0700] "PUT /bleeding-edge/convergence/orchestrate/visualize HTTP/1.1" 304 57513 "http://www.internalengage.com/target/streamline" "Mozilla/5.0 (iPad; CPU OS 8_0_1 like Mac OS X; en-US) AppleWebKit/533.16.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.16.7"
55.53.44.216 - - [17/Dec/2025:17:49:19 -0700] "GET /paradigms/utilize/b2c HTTP/1.0" 201 13061 "http://www.humanmaximize.biz/recontextualize" "Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.2.20) Gecko/1948-30-04 Firefox/35.0"
32.230.176.126 - - [17/Dec/2025:17:49:19 -0700] "HEAD /incubate/cross-platform/cutting-edge/vortals HTTP/2.0" 501 10507 "https://www.globalpartnerships.net/e-business" "Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.47.3 (KHTML, like Gecko) Version/5.2 Safari/535.47.3"
211.130.122.147 - asif [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=asif&password=c0Z0hDBRrYHw&status=unauthorized HTTP/1.1" 401 14089 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
131.144.75.210 - naveed_patel [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=naveed_patel&password=Jx3PXTYXlaJTwl&status=unauthorized HTTP/1.1" 401 10504 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
90.13.24.136 - franecki8551 [17/Dec/2025:17:49:19 -0700] "GET /granular/synergistic/scalable HTTP/2.0" 503 74459 "https://www.chiefschemas.name/platforms/robust/strategic/leading-edge" "Opera/10.70 (Macintosh; U; Intel Mac OS X 10_5_6; en-US) Presto/2.8.270 Version/12.00"
235.243.231.225 - arwa [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=arwa&password=UluEKQWuEs53&status=unauthorized HTTP/1.1" 401 7042 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
81.107.63.65 - arshad_somani [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=arshad_somani&password=9Z3wMj4z&status=unauthorized HTTP/1.1" 401 2181 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
124.210.109.57 - zoheb_makani [17/Dec/2025:17:49:28 -0700] "POST /login/login?user=zoheb_makani&password=GkRuBsgPEa3ZE&status=unauthorized HTTP/1.1" 401 13057 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
234.157.177.110 - asif [17/Dec/2025:17:49:29 -0700] "POST /login/login?user=asif&password=PPjO3Xby&status=unauthorized HTTP/1.1" 401 7707 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
249.53.55.165 - mahek_ramzan [17/Dec/2025:17:49:33 -0700] "POST /login/login?user=mahek_ramzan&password=Kib9jI0Arj21K&status=unauthorized HTTP/1.1" 401 7413 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
115.109.208.171 - roheen [17/Dec/2025:17:49:38 -0700] "POST /login/login?user=roheen&password=vf9NupqCL2OpBz&status=unauthorized HTTP/1.1" 401 9830 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
64.15.61.226 - reichert3237 [17/Dec/2025:17:49:19 -0700] "PATCH /facilitate/monetize/deliverables HTTP/1.1" 301 17044 "http://www.districtarchitectures.info/synthesize" "Mozilla/5.0 (iPad; CPU OS 7_2_2 like Mac OS X; en-US) AppleWebKit/532.14.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.14.1"
235.211.34.144 - anita_karim [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=anita_karim&password=agl4mujTP2Y3ef&status=unauthorized HTTP/1.1" 401 21428 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
120.173.215.47 - - [17/Dec/2025:17:49:19 -0700] "HEAD /synthesize/impactful HTTP/1.1" 404 30792 "https://www.legacybest-of-breed.info/exploit/cross-platform/efficient" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_6 rv:7.0) Gecko/1908-24-11 Firefox/37.0"
29.153.147.30 - - [17/Dec/2025:17:49:19 -0700] "POST /paradigms/open-source/transform HTTP/1.0" 203 4009 "https://www.leadimplement.name/open-source/technologies/engineer" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5362 (KHTML, like Gecko) Chrome/40.0.863.0 Mobile Safari/5362"
52.200.45.48 - oreilly1044 [17/Dec/2025:17:49:19 -0700] "PATCH /virtual HTTP/1.0" 401 72195 "http://www.regionaliterate.com/bricks-and-clicks" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5330 (KHTML, like Gecko) Chrome/40.0.862.0 Mobile Safari/5330"
96.9.175.58 - - [17/Dec/2025:17:49:19 -0700] "PATCH /channels/collaborative/recontextualize/front-end HTTP/1.1" 301 25340 "http://www.directutilize.org/morph" "Opera/10.90 (Windows NT 5.1; en-US) Presto/2.11.253 Version/12.00"
