127.211.166.233 - aly_a [17/Dec/2025:17:49:13 -0700] "POST /login/login?user=aly_a&password=rU2d9g89RH&status=unauthorized HTTP/1.1" 401 6656 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
107.150.159.9 - samir [17/Dec/2025:17:49:14 -0700] "POST /login/login?user=samir&password=BinzFNvsPgBAmN&status=unauthorized HTTP/1.1" 401 2374 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
229.128.5.23 - hussein_din [17/Dec/2025:17:49:19 -0700] "POST /login/login?user=hussein_din&password=Mxa7KUCmIw&status=unauthorized HTTP/1.1" 401 4184 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
254.251.6.164 - - [17/Dec/2025:17:49:18 -0700] "POST /brand/innovate HTTP/1.1" 405 62657 "https://www.dynamicredefine.name/interfaces/optimize/orchestrate" "Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5330 (KHTML, like Gecko) Chrome/39.0.813.0 Mobile Safari/5330"
52.199.191.41 - - [17/Dec/2025:17:49:18 -0700] "POST /bandwidth/implement/unleash HTTP/2.0" 404 22161 "https://www.dynamic24/7.com/enable" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5351 (KHTML, like Gecko) Chrome/38.0.800.0 Mobile Safari/5351"
6.66.72.2 - saira_jiwani [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=saira_jiwani&password=28CF3XqS9y&status=unauthorized HTTP/1.1" 401 13397 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
179.239.136.49 - hirthe6717 [17/Dec/2025:17:49:18 -0700] "GET /robust/niches/drive HTTP/1.1" 403 21323 "http://www.centralubiquitous.net/efficient/mesh" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0 rv:6.0) Gecko/1902-20-04 Firefox/36.0"
51.104.131.136 - kovacek3837 [17/Dec/2025:17:49:18 -0700] "PUT /integrated/target HTTP/2.0" 401 41900 "http://www.seniorturn-key.biz/interactive" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_0) AppleWebKit/5330 (KHTML, like Gecko) Chrome/37.0.887.0 Mobile Safari/5330"
71.222.186.22 - zain_mitha [17/Dec/2025:17:49:19 -0700] "POST /login/login?user=zain_mitha&password=SVm1Qt2ZmF&status=unauthorized HTTP/1.1" 401 23950 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
168.136.94.51 - - [17/Dec/2025:17:49:18 -0700] "PATCH /evolve/incubate/synthesize/24%2f365 HTTP/2.0" 200 92224 "https://www.legacybricks-and-clicks.io/generate/leverage/holistic/seamless" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_6 rv:7.0) Gecko/1941-04-03 Firefox/35.0"
57.33.169.71 - asad [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=asad&password=dPqbaOTBLv&status=unauthorized HTTP/1.1" 401 23660 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
41.233.243.237 - ali_dharani [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=ali_dharani&password=BuaSFVgSa&status=unauthorized HTTP/1.1" 401 13290 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
