239.20.151.235 - isabella_bartolomeo [17/Dec/2025:17:49:14 -0700] "POST /login/login?user=isabella_bartolomeo&password=TF1h7qM6v&status=unauthorized HTTP/1.1" 401 927 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
229.228.164.60 - - [17/Dec/2025:17:49:19 -0700] "HEAD /e-business/impactful/web+services/eyeballs HTTP/1.0" 416 17914 "http://www.centralenhance.biz/eyeballs/clicks-and-mortar/infomediaries" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X; en-US) AppleWebKit/531.33.1 (KHTML, like Gecko) Version/5.0.5 Mobile/8B113 Safari/6531.33.1"
16.255.129.92 - nader7285 [17/Dec/2025:17:49:19 -0700] "PATCH /portals HTTP/1.0" 304 26708 "http://www.globalarchitectures.com/content" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_1) AppleWebKit/5351 (KHTML, like Gecko) Chrome/37.0.810.0 Mobile Safari/5351"
159.121.125.168 - xiaoyin_wang [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=xiaoyin_wang&password=ojbQTnnLK&status=unauthorized HTTP/1.1" 401 19377 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
130.237.39.87 - - [17/Dec/2025:17:49:19 -0700] "DELETE /killer/viral/harness HTTP/1.1" 500 58511 "https://www.internalstrategize.biz/enterprise/technologies/disintermediate" "Mozilla/5.0 (X11; Linux i686; rv:5.0) Gecko/1955-01-04 Firefox/37.0"
113.123.40.87 - - [17/Dec/2025:17:49:19 -0700] "PUT /front-end/supply-chains/eyeballs/cross-platform HTTP/2.0" 203 10933 "http://www.humansolutions.net/morph/e-business/extend" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5360 (KHTML, like Gecko) Chrome/40.0.812.0 Mobile Safari/5360"
222.219.8.8 - - [17/Dec/2025:17:49:19 -0700] "PATCH /vortals/disintermediate/integrated HTTP/1.1" 203 32514 "http://www.chiefone-to-one.name/collaborative/incentivize/dot-com/24/7" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8 rv:7.0; en-US) AppleWebKit/536.36.8 (KHTML, like Gecko) Version/6.0 Safari/536.36.8"
11.53.237.125 - elocin_pettit [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=elocin_pettit&password=u0bwfAHPeTlsE&status=unauthorized HTTP/1.1" 401 8128 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
212.237.69.156 - matthew_gibson_lopez [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=matthew_gibson_lopez&password=E6C3Ev2N8cQ&status=unauthorized HTTP/1.1" 401 9786 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
50.116.179.106 - matthew_gibsonlopez [17/Dec/2025:17:49:26 -0700] "POST /login/login?user=matthew_gibsonlopez&password=fWv0BSIc5Tx&status=unauthorized HTTP/1.1" 401 8126 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
119.61.85.102 - - [17/Dec/2025:17:49:19 -0700] "PATCH /web-enabled HTTP/2.0" 201 20432 "http://www.principalinteractive.biz/iterate" "Mozilla/5.0 (X11; Linux x86_64; rv:7.0) Gecko/1953-30-09 Firefox/37.0"
